id,title,author,genre,description,rating,year,cover_id
1,The Summer I Turned Pretty Trilogy,Jenny Han,Children's fiction,"Children's fiction Friendship, fiction Love, fiction Interpersonal relations, fiction Seashore, fiction Vacations, fiction Summer, fiction",0,2009,7719210
2,The Picture of Dorian Gray,Oscar Wilde,British and irish fiction (fictional works by one author),"British and irish fiction (fictional works by one author) Conduct of life, fiction Fantasy fiction Appearance (Philosophy) Fiction Conduct of life Youthfulness Portraits Apparence (Philosophie) Romans, nouvelles",0,1890,14314858
3,Shatter Me,Tahereh Mafi,Love,"Love Ability Dictatorship Fiction Science fiction Soldiers Juvenile fiction Love stories Children's fiction Love, fiction",0,2011,6974992
4,The Silent Patient,Alex Michaelides,"Fiction, psychological","Fiction, psychological Fiction, thrillers London (england), fiction Artists, fiction Marriage, fiction New York Times bestseller Fiction, thrillers, general Family violence Fiction Marriage",0,2018,9407338
5,"Frankenstein; or, The Modern Prometheus",Mary Shelley,Frankenstein (Fictitious character),"Frankenstein (Fictitious character) Frankenstein's monster (Fictitious character) Fiction Victor Frankenstein (Fictitious character) Scientists Monsters Fiction, horror Frankenstein (fictitious character), fiction Physicians, fiction British fiction (fictional works by one author)",0,1818,12356249
6,The Cruel Prince,Holly Black,Fairies--Fiction.,Fairies--Fiction. Sisters--Fiction. Orphans--Fiction. Princes--Fiction. Courts and courtiers--Fiction. Fantasy Princes Courts and courtiers Orphans Fairies,0,2018,8361789
7,Diary of a Wimpy Kid,Jeff Kinney,School stories,School stories Families Diaries Middle schools Family life Fiction Children's stories Schools Friendship Juvenile fiction,0,2007,14376136
8,It Ends With Us,Colleen Hoover,"Fiction, Romance, Contemporary, Life change events","Fiction, Romance, Contemporary, Life change events Triangles (Interpersonal relations) Man-woman relationships Neurosurgeons First loves Businesswomen Fiction Contemporary Women New York Times bestseller Fiction, romance, contemporary",0,2012,10473609
9,The Invisible Man,H. G. Wells,Ciencia-ficción,Ciencia-ficción Classic Literature Fiction Mentally ill Science Fiction & Fantasy Science fiction Scientists English Science fiction Experiments Adaptations,0,0,6419199
10,Powerless,Lauren Roberts,"Fiction, fantasy, general","Fiction, fantasy, general Fiction, romance, general Fiction, general",0,2023,14567864
11,Unravel me,Tahereh Mafi,Love,"Love Ability Dictatorship Soldiers Juvenile fiction Fiction Children's fiction Science fiction Love, fiction Soldiers, fiction",0,2013,12727567
